,Melanosuchus niger,Caiman yacare,Caiman crocodilus,Caiman latirostris,Paleosuchus palpebrosus,Paleosuchus trigonatus,Alligator mississippiensis,Crocodylus moreletii,Crocodylus rhombifer,Crocodylus intermedius,Crocodylus acutus
Melanosuchus niger,100,18.90425892,13.10627226,0,22.51263264,8.995298078,0,0,0,0,0
Caiman yacare,18.90425892,100,0.646876644,6.984114718,16.15340958,1.533897712,0,0,0,0,0
Caiman crocodilus,13.10627226,0.646876644,100,0,20.50716116,7.913301149,0,1.422957133,0,8.66571424,15.86009385
Caiman latirostris,0,6.984114718,0,100,0.991298176,0,0,0,0,0,0
Paleosuchus palpebrosus,22.51263264,16.15340958,20.50716116,0.991298176,100,5.322512483,0,0,0,3.132939549,0.131660277
Paleosuchus trigonatus,8.995298078,1.533897712,7.913301149,0,5.322512483,100,0,0,0,2.076320558,0
Alligator mississippiensis,0,0,0,0,0,0,100,0,0,0,0.225964294
Crocodylus moreletii,0,0,1.422957133,0,0,0,0,100,0,0,5.821367203
Crocodylus rhombifer,0,0,0,0,0,0,0,0,100,0,0.178047214
Crocodylus intermedius,0,0,8.66571424,0,3.132939549,2.076320558,0,0,0,100,0.017280868
Crocodylus acutus,0,0,15.86009385,0,0.131660277,0,0.225964294,5.821367203,0.178047214,0.017280868,100
