"","A_mi_value","C_ac_value","C_cr_value","C_in_values","C_la_values","C_mo_values","C_rh_values","C_ya_values","M_ni_values","P_pa_values"
"1",1,1,1,1,1,1,1,1,1,1
"2",0.0381432690404738,1,1,1,1,1,1,1,1,1
"3",0.0037465272439583,0.201265019028178,1,1,1,1,1,1,1,1
"4",0,0.0183836099390248,0.0364550187590347,1,1,1,1,1,1,1
"5",0.0760501127247888,0.0646073250903408,0.0412928572141115,0.0233879777874751,1,1,1,1,1,1
"6",0.0220811235933153,0.11762275304317,0.0982567649724227,0.0321549052734893,0.0855247275664991,1,1,1,1,1
"7",0,0.00302348824494436,0.0143431653094156,0,0.00178824531992516,0.0074672089549257,1,1,1,1
"8",0.091993119450133,0.0421871017142705,0.0748415677632741,0.0150007191901865,0.109434137826699,0.11496150472404,0.00301687150498642,1,1,1
"9",0.00412212163779035,0.0584197255692345,0.1180849447124,0.0535672944501131,0.0557807733646412,0.13260424876363,0.00622860954405124,0.0967347970707723,1,1
"10",0.0268896482042286,0.101897033751139,0.127986575239487,0.0546879693211118,0.0573902904508982,0.0840271552197719,0.000863837414687874,0.0838868908872249,0.0572736383626101,1
"11",0.0117405794730124,0.0899007008685251,0.20692772528,0.121389950624167,0.0616023107515209,0.123124889194091,0.0233463213853566,0.063219555933279,0.189913453955068,0.103356833133188
