"","A_mi_value","C_ac_value","C_cr_value","C_in_values","C_la_values","C_mo_values","C_rh_values","C_ya_values","M_ni_values","P_pa_values"
"1",1,1,1,1,1,1,1,1,1,1
"2",0.0787750097387644,1,1,1,1,1,1,1,1,1
"3",0.00621706910720987,0.382069872458941,1,1,1,1,1,1,1,1
"4",-2.22044604925031e-16,0.098905167689319,0.124172295620228,1,1,1,1,1,1,1
"5",0.218308925710388,0.16181352335533,0.101925980654632,0.0520827835200155,1,1,1,1,1,1
"6",0.0438106090141136,0.246744249256529,0.223808514602495,0.0712997215876989,0.209382246315785,1,1,1,1,1
"7",-2.22044604925031e-16,0.0305588622778369,0.043726593206051,-2.22044604925031e-16,0.0344595657259942,0.0594910747141763,1,1,1,1
"8",0.168519020715628,0.138917501248462,0.169145582213751,0.0288657766724735,0.237218636306333,0.266760599025184,0.0363865009694132,1,1,1
"9",0.00842102961416191,0.156437362832778,0.249642909656102,0.0973619178619012,0.117463901691587,0.280718840033746,0.0563766480238439,0.192501560645075,1,1
"10",0.058841841571594,0.23083347719414,0.2611376200623,0.182149788472871,0.142451371242254,0.210236937545311,0.0208775705943238,0.206072221366772,0.152444245673182,1
"11",0.0212044303344949,0.228902715616234,0.372119821707549,0.22657513202465,0.133317145110035,0.282525127039686,0.081835298802579,0.160792830271883,0.379629571780096,0.228577703770896
