,Melanosuchus_niger,Caiman_yacare,Caiman_crocodilus,Caiman_latirostris,Paleosuchus_palpebrosus,Paleosuchus_trigonatus,Alligator_mississippiensis,Crocodylus_moreletii,Crocodylus_rhombifer,Crocodylus_intermedius,Crocodylus_acutus
Melanosuchus_niger,0,24.8565045,24.8565045,24.8565045,50.7437437,50.7437437,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Caiman_yacare,24.8565045,0,6.566714082,16.67066201,50.7437437,50.7437437,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Caiman_crocodilus,24.8565045,6.566714082,0,16.67066201,50.7437437,50.7437437,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Caiman_latirostris,24.8565045,16.67066201,16.67066201,0,50.7437437,50.7437437,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Paleosuchus_palpebrosus,50.7437437,50.7437437,50.7437437,50.7437437,0,19.05479076,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Paleosuchus_trigonatus,50.7437437,50.7437437,50.7437437,50.7437437,19.05479076,0,130.9678431,174.2827272,174.2827272,174.2827272,174.2827272
Alligator_mississippiensis,130.9678431,130.9678431,130.9678431,130.9678431,130.9678431,130.9678431,0,174.2827272,174.2827272,174.2827272,174.2827272
Crocodylus_moreletii,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,0,6.833923504,8.15125079,8.15125079
Crocodylus_rhombifer,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,6.833923504,0,8.15125079,8.15125079
Crocodylus_intermedius,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,8.15125079,8.15125079,0,3.57773573
Crocodylus_acutus,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,174.2827272,8.15125079,8.15125079,3.57773573,0
