,Melanosuchus_niger,Caiman_yacare,Caiman_crocodilus,Caiman_latirostris,Paleosuchus_palpebrosus,Paleosuchus_trigonatus,Alligator_mississippiensis,Crocodylus_moreletii,Crocodylus_rhombifer,Crocodylus_intermedius,Crocodylus_acutus
Melanosuchus_niger,0,0.096734797,0.118084945,0.055780773,0.057273638,0.189913454,0.004122122,0.132604249,0.00622861,0.053567294,0.058419726
Caiman_yacare,0.096734797,0,0.074841568,0.109434138,0.083886891,0.063219556,0.091993119,0.114961505,0.003016872,0.015000719,0.042187102
Caiman_crocodilus,0.118084945,0.074841568,0,0.041292857,0.127986575,0.206927725,0.003746527,0.098256765,0.014343165,0.036455019,0.201265019
Caiman_latirostris,0.055780773,0.109434138,0.041292857,0,0.05739029,0.061602311,0.076050113,0.085524728,0.001788245,0.023387978,0.064607325
Paleosuchus_palpebrosus,0.057273638,0.083886891,0.127986575,0.05739029,0,0.103356833,0.026889648,0.084027155,0.000863837,0.054687969,0.101897034
Paleosuchus_trigonatus,0.189913454,0.063219556,0.206927725,0.061602311,0.103356833,0,0.011740579,0.123124889,0.023346321,0.121389951,0.089900701
Alligator_mississippiensis,0.004122122,0.091993119,0.003746527,0.076050113,0.026889648,0.011740579,0,0.022081124,0,0,0.038143269
Crocodylus_moreletii,0.132604249,0.114961505,0.098256765,0.085524728,0.084027155,0.123124889,0.022081124,0,0.007467209,0.032154905,0.117622753
Crocodylus_rhombifer,0.00622861,0.003016872,0.014343165,0.001788245,0.000863837,0.023346321,0,0.007467209,0,0,0.003023488
Crocodylus_intermedius,0.053567294,0.015000719,0.036455019,0.023387978,0.054687969,0.121389951,0,0.032154905,0,0,0.01838361
Crocodylus_acutus,0.058419726,0.042187102,0.201265019,0.064607325,0.101897034,0.089900701,0.038143269,0.117622753,0.003023488,0.01838361,0
