,Melanosuchus_niger,Caiman_yacare,Caiman_crocodilus,Caiman_latirostris,Paleosuchus_palpebrosus,Paleosuchus_trigonatus,Alligator_mississippiensis,Crocodylus_moreletii,Crocodylus_rhombifer,Crocodylus_intermedius,Crocodylus_acutus
Melanosuchus_niger,0,0.192501561,0.24964291,0.117463902,0.152444246,0.379629572,0.00842103,0.28071884,0.056376648,0.097361918,0.156437363
Caiman_yacare,0.192501561,0,0.169145582,0.237218636,0.206072221,0.16079283,0.168519021,0.266760599,0.036386501,0.028865777,0.138917501
Caiman_crocodilus,0.24964291,0.169145582,0,0.101925981,0.26113762,0.372119822,0.006217069,0.223808515,0.043726593,0.124172296,0.382069872
Caiman_latirostris,0.117463902,0.237218636,0.101925981,0,0.142451371,0.133317145,0.218308926,0.209382246,0.034459566,0.052082784,0.161813523
Paleosuchus_palpebrosus,0.152444246,0.206072221,0.26113762,0.142451371,0,0.228577704,0.058841842,0.210236938,0.020877571,0.182149788,0.230833477
Paleosuchus_trigonatus,0.379629572,0.16079283,0.372119822,0.133317145,0.228577704,0,0.02120443,0.282525127,0.081835299,0.226575132,0.228902716
Alligator_mississippiensis,0.00842103,0.168519021,0.006217069,0.218308926,0.058841842,0.02120443,0,0.043810609,0,0,0.07877501
Crocodylus_moreletii,0.28071884,0.266760599,0.223808515,0.209382246,0.210236938,0.282525127,0.043810609,0,0.059491075,0.071299722,0.246744249
Crocodylus_rhombifer,0.056376648,0.036386501,0.043726593,0.034459566,0.020877571,0.081835299,0,0.059491075,0,0,0.030558862
Crocodylus_intermedius,0.097361918,0.028865777,0.124172296,0.052082784,0.182149788,0.226575132,0,0.071299722,0,0,0.098905168
Crocodylus_acutus,0.156437363,0.138917501,0.382069872,0.161813523,0.230833477,0.228902716,0.07877501,0.246744249,0.030558862,0.098905168,0
