,Melanosuchus_niger,Caiman_yacare,Caiman_crocodilus,Caiman_latirostris,Paleosuchus_palpebrosus,Paleosuchus_trigonatus,Alligator_mississippiensis,Crocodylus_moreletii,Crocodylus_rhombifer,Crocodylus_intermedius,Crocodylus_acutus
Melanosuchus_niger,0,18.90425892,13.10627226,0,22.51263264,8.995298078,0,0,0,0,0
Caiman_yacare,18.90425892,0,0.646876644,6.984114718,16.15340958,1.533897712,0,0,0,0,0
Caiman_crocodilus,13.10627226,0.646876644,0,0,20.50716116,7.913301149,0,1.422957133,0,8.66571424,15.86009385
Caiman_latirostris,0,6.984114718,0,0,0.991298176,0,0,0,0,0,0
Paleosuchus_palpebrosus,22.51263264,16.15340958,20.50716116,0.991298176,0,5.322512483,0,0,0,3.132939549,0.131660277
Paleosuchus_trigonatus,8.995298078,1.533897712,7.913301149,0,5.322512483,0,0,0,0,2.076320558,0
Alligator_mississippiensis,0,0,0,0,0,0,0,0,0,0,0.225964294
Crocodylus_moreletii,0,0,1.422957133,0,0,0,0,0,0,0,5.821367203
Crocodylus_rhombifer,0,0,0,0,0,0,0,0,0,0,0.178047214
Crocodylus_intermedius,0,0,8.66571424,0,3.132939549,2.076320558,0,0,0,0,0.017280868
Crocodylus_acutus,0,0,15.86009385,0,0.131660277,0,0.225964294,5.821367203,0.178047214,0.017280868,0
